method,n,search,build,solve,total,score,avgDelay,fair,gini,varsize,d,status,X,F
Full,3,0.0,0.005035792,0.062294375,0.06791425,26.99980733692622,8.999935778975408,2.3327954679075445e-10,2.8800149556587186e-10,512,512,LOCALLY_SOLVED,512,27
Reduced,3,0.0,0.000353666,0.006497084,0.007781125,27.000000103335253,9.000000034445085,4.52165060949028e-11,5.582284681709725e-11,27,27,LOCALLY_SOLVED,512,27
Hull / X,3,0.000328,1.0167e-5,0.000637666,0.001245833,27.0,9.0,1.7763568394002505e-17,2.1930331350620375e-17,8,8,LOCALLY_SOLVED,512,27
Hull / F,3,2.9792e-5,6.041e-6,0.00056025,0.001122791,27.0,9.0,1.7763568394002505e-17,2.1930331350620375e-17,8,8,LOCALLY_SOLVED,512,27
Full,4,0.0,0.11947475,0.689323417,0.909720667,40.99732297132338,10.249330742830844,0.008733145157056673,0.010650775820018164,4096,4096,LOCALLY_SOLVED,4096,64
Reduced,4,0.0,0.002741583,0.014574958,0.091400916,41.00000007282991,10.250000018207478,0.008727241927107806,0.010642977857897076,64,64,LOCALLY_SOLVED,4096,64
Hull / X,4,0.022672042,3.1083e-5,0.000895208,0.070950875,40.999999999999986,10.249999999999996,0.008333333333333338,0.010162601626016265,18,18,LOCALLY_SOLVED,4096,64
Hull / F,4,0.003716125,1.7584e-5,0.000727459,0.005222583,40.999999999999986,10.249999999999996,0.008333333333333338,0.01016260162601627,18,18,LOCALLY_SOLVED,4096,64
Full,5,0.0,2.890368875,10.195286125,13.191963792,54.9661871249664,10.99323742499328,0.004681134066880474,0.0034065555011623637,32768,32768,LOCALLY_SOLVED,32768,125
Reduced,5,0.0,0.004560375,0.019959542,0.100974042,55.00000013189259,11.000000026378519,0.004602181754409962,0.003347041275792725,125,125,LOCALLY_SOLVED,32768,125
Hull / X,5,0.051343459,4.2125e-5,0.000866042,0.271143708,54.99999999999997,10.999999999999995,0.004166666666666696,0.0030303030303030594,36,36,LOCALLY_SOLVED,32768,125
Hull / F,5,0.004280208,3.3417e-5,0.000744208,0.005927542,54.99999999999997,10.999999999999995,0.004166666666666696,0.003030303030303066,36,36,LOCALLY_SOLVED,32768,125
Reduced,6,0.0,0.010299167,0.049598708,0.130751833,69.00000005255373,11.500000008758954,3.701122430754822e-10,3.05120167224872e-10,216,216,LOCALLY_SOLVED,262144,216
Hull / X,6,0.4205795,7.0e-5,0.000887833,0.469622,69.0,11.5,0.0,0.0,64,64,LOCALLY_SOLVED,262144,216
Hull / F,6,0.004385333,5.9625e-5,0.000734,0.006088542,69.0,11.5,0.0,0.0,64,64,LOCALLY_SOLVED,262144,216
Reduced,7,0.0,0.023841,0.091054292,0.186222291,83.00000025110418,11.857142893014883,0.0026221343239156703,0.002707883935854176,343,343,LOCALLY_SOLVED,2097152,343
Hull / X,7,1.862839625,0.000113833,0.000864833,1.91232175,83.0,11.857142857142858,0.002500000000000089,0.0025817555938038323,100,100,LOCALLY_SOLVED,2097152,343
Hull / F,7,0.011978375,0.000108709,0.000812125,0.014142917,83.0,11.857142857142858,0.0025000000000001245,0.00258175559380386,100,100,LOCALLY_SOLVED,2097152,343
Reduced,8,0.0,0.025187375,0.173566292,0.270793041,97.00000027909584,12.12500003488698,0.0017498479948034706,0.0013529752480070916,512,512,LOCALLY_SOLVED,16777216,512
Hull / X,8,16.109703333,0.000186125,0.001034834,16.160074125,97.00000000000045,12.125000000000057,0.001666666666666714,0.001288659793814475,150,150,LOCALLY_SOLVED,16777216,512
Hull / F,8,0.006226667,0.007337667,0.00099775,0.015829042,97.00000000000044,12.125000000000055,0.0016666666666667318,0.0012886597938144833,150,150,LOCALLY_SOLVED,16777216,512
