method,n,search,build,solve,total,score,avgDelay,fair,gini,varsize,d,status,X,F
Full,3,0.0,0.028064292,0.059315459,0.088829417,29.999810187653356,9.999936729217785,3.523565439422782e-11,3.915097481597765e-11,512,512,LOCALLY_SOLVED,512,27
Hull / F,3,8.2625e-5,8.7875e-5,0.0016215,0.002752541,30.0,10.0,1.5099033134902129e-15,1.6776703483224587e-15,31,27,LOCALLY_SOLVED,512,27
Hull / X,3,0.000619917,7.5e-5,0.001653042,0.002825083,30.000000000000004,10.000000000000002,2.8599345114344034e-15,3.177705012704892e-15,31,27,LOCALLY_SOLVED,512,27
Hull direct,3,4.2e-8,5.3166e-5,0.00124575,0.002266584,30.0,10.0,1.5099033134902129e-15,1.6776703483224587e-15,31,27,LOCALLY_SOLVED,512,27
Reduced,3,0.0,0.000646083,0.003105625,0.005307542,29.999999999999996,9.999999999999998,6.091127602303459e-14,6.767919558114956e-14,27,27,LOCALLY_SOLVED,512,27
Full,4,0.0,0.283133584,0.65876225,0.952142708,44.99696437369731,11.249241093424327,8.949108121214522e-13,9.055589864104518e-13,4096,4096,LOCALLY_SOLVED,4096,64
Hull / F,4,0.047466291,0.000214583,0.002526417,0.053627042,45.0,11.25,5.631051180898794e-15,4.7418858962878905e-15,69,64,LOCALLY_SOLVED,4096,64
Hull / X,4,0.103725542,0.000180166,0.002570167,0.10735825,45.0,11.25,1.0906830993917537e-14,9.103828801926284e-15,69,64,LOCALLY_SOLVED,4096,64
Hull direct,4,4.1e-8,0.006795625,0.00149625,0.014796459,45.0,11.25,5.631051180898794e-15,4.7418858962878905e-15,69,64,LOCALLY_SOLVED,4096,64
Reduced,4,0.0,0.0046945,0.005975125,0.0227845,44.999999999999986,11.249999999999996,7.212008767965017e-14,6.121029609100031e-14,64,64,LOCALLY_SOLVED,4096,64
Full,5,0.0,5.929890708,10.293035584,16.247920459,59.95871160038384,11.991742320076769,2.3511093516503934e-10,1.923386127281241e-10,32768,32768,LOCALLY_SOLVED,32768,125
Hull / F,5,0.059302083,0.001024459,0.005562666,0.072190542,60.00000000000003,12.000000000000005,9.85878045867139e-15,6.6317322004275995e-15,131,125,LOCALLY_SOLVED,32768,125
Hull / X,5,0.221541041,0.000409709,0.003778416,0.226592917,59.99999999999997,11.999999999999995,3.0730973321624333e-15,2.0724163126336265e-15,131,125,LOCALLY_SOLVED,32768,125
Hull direct,5,4.1e-8,0.007086417,0.002265291,0.016915875,60.00000000000003,12.000000000000005,9.85878045867139e-15,6.6317322004275995e-15,131,125,LOCALLY_SOLVED,32768,125
Reduced,5,0.0,0.010154333,0.00946425,0.037627583,59.99999999999998,11.999999999999996,2.0161650127192842e-14,1.9415580254644743e-14,125,125,LOCALLY_SOLVED,32768,125
Full,6,0.0,326.56306175,179.906033583,506.668558,74.49472649896985,12.41578774982831,2.5064053588153003e-8,1.730116804142962e-8,262144,262144,LOCALLY_SOLVED,262144,216
Hull / F,6,0.050360958,0.001606583,0.005612833,0.061462959,75.00000000000006,12.500000000000009,1.2718714970105794e-14,8.952838470577256e-15,223,216,LOCALLY_SOLVED,262144,216
Hull / X,6,2.123949542,0.000938917,0.005708334,2.132695958,75.0,12.5,1.2452261444195755e-14,8.07255497016336e-15,223,216,LOCALLY_SOLVED,262144,216
Hull direct,6,0.0,0.007241709,0.0031935,0.0171865,75.00000000000006,12.500000000000009,1.2718714970105794e-14,8.952838470577256e-15,223,216,LOCALLY_SOLVED,262144,216
Reduced,6,0.0,0.041174958,0.023834708,0.134607375,74.99999999999996,12.499999999999993,4.758859972753271e-14,3.337577128250917e-14,216,216,LOCALLY_SOLVED,262144,216
Hull / F,7,0.051673958,0.00159725,0.009089458,0.067236375,89.99999999999977,12.857142857142824,6.696865284538944e-15,4.065883432405028e-15,351,343,LOCALLY_SOLVED,2097152,343
Hull / X,7,3.607021083,0.001496875,0.034171375,3.643744792,89.99999999999994,12.857142857142849,8.490985692333198e-15,7.105427357601007e-15,351,343,LOCALLY_SOLVED,2097152,343
Hull direct,7,4.2e-8,0.007597125,0.005193667,0.019254375,89.99999999999977,12.857142857142824,6.696865284538944e-15,4.065883432405028e-15,351,343,LOCALLY_SOLVED,2097152,343
Reduced,7,0.0,0.043892375,0.045067,0.101028167,90.00000000000001,12.85714285714286,1.751487843648647e-14,1.3277562471009174e-14,343,343,LOCALLY_SOLVED,2097152,343
Hull / F,8,0.0649675,0.002886208,0.0149075,0.087180042,104.99999999999993,13.124999999999991,4.227729277772596e-15,2.7004853379930017e-15,521,512,LOCALLY_SOLVED,16777216,512
Hull / X,8,29.199188833,0.00265975,0.015109209,29.218097875,105.00000000000014,13.125000000000018,2.6822988274943782e-15,1.6896537079533312e-15,521,512,LOCALLY_SOLVED,16777216,512
Hull direct,8,0.0,0.008235584,0.008859875,0.023665833,104.99999999999993,13.124999999999991,4.227729277772596e-15,2.7004853379930017e-15,521,512,LOCALLY_SOLVED,16777216,512
Reduced,8,0.0,0.056936458,0.071503917,0.14052275,105.00000000000001,13.125000000000002,1.0995648835887551e-14,7.59498284369762e-15,512,512,LOCALLY_SOLVED,16777216,512
