flight_id,airline_id,sched_t,ready_t,runway,pax
F0001,1,1,1,1,128
F0002,3,6,5,1,108
F0003,1,7,6,2,191
F0004,1,8,5,1,142
F0005,1,8,6,1,175
F0006,3,9,6,2,80
F0007,3,10,7,1,87
F0008,1,15,13,1,120
F0009,1,17,16,1,162
F0010,3,20,20,2,116
F0011,1,22,19,2,140
F0012,3,23,20,1,78
F0013,2,23,21,2,130
F0014,2,25,22,1,98
F0015,2,26,23,1,120
F0016,3,28,28,2,103
F0017,3,28,25,2,72
F0018,1,29,29,1,135
F0019,1,29,27,2,152
F0020,1,30,28,2,176
F0021,3,32,30,1,120
F0022,1,33,33,1,103
F0023,1,35,33,1,174
F0024,2,38,38,2,148
F0025,1,40,39,1,141
F0026,1,41,40,2,153
F0027,3,42,41,1,54
F0028,3,43,40,1,83
F0029,3,45,43,1,56
F0030,1,46,43,2,174
F0031,2,46,45,2,135
F0032,2,46,43,2,123
F0033,3,47,47,1,80
F0034,1,50,47,1,114
F0035,2,50,47,2,128
F0036,2,51,50,2,113
F0037,2,51,50,1,124
F0038,3,52,49,2,78
F0039,2,53,53,2,148
F0040,3,54,52,2,103
F0041,2,55,52,2,128
F0042,3,56,55,1,85
F0043,2,56,55,1,128
F0044,2,57,54,1,126
F0045,3,57,56,2,86
F0046,3,58,56,2,95
F0047,2,59,58,1,84
