mc,solver,status,n_backlog_total,n_airlines,Q0_runway,B0_total,t_epoch,lateness_mean,lateness_std,coord_sigma,real_sigma,obj,fairness_gap,n_pushed,solver_time_sec,wall_ms,num_pne
1,GREEDY_CENTRALIZED,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.00017189979553222656,0.17404556274414062,
1,AGG_ORACLE_FCFS,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.0001850128173828125,0.1850128173828125,
1,CE_FULL,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,2.0,5,14.5314040184021,14531.41713142395,
1,CE_NAIVE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,2.0,5,0.29634809494018555,296.3531017303467,4
1,RRCE_PNE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,4.0,5,0.18909883499145508,189.100980758667,4
2,GREEDY_CENTRALIZED,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.00010800361633300781,0.10895729064941406,
2,AGG_ORACLE_FCFS,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.00010585784912109375,0.10585784912109375,
2,CE_FULL,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,2.6666666666666665,5,14.976906061172485,14976.914882659912,
2,CE_NAIVE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,2.0,5,0.4357271194458008,435.7330799102783,4
2,RRCE_PNE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,2.0,5,0.231964111328125,231.96697235107422,4
3,GREEDY_CENTRALIZED,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.00011801719665527344,0.11920928955078125,
3,AGG_ORACLE_FCFS,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.00011801719665527344,0.11897087097167969,
3,CE_FULL,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,2.6666666666666665,5,14.877223014831543,14877.230882644653,
3,CE_NAIVE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,2.0,5,0.3410048484802246,341.00914001464844,6
3,RRCE_PNE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,2.0,5,0.22872495651245117,228.72495651245117,6
4,GREEDY_CENTRALIZED,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.00011706352233886719,0.11801719665527344,
4,AGG_ORACLE_FCFS,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.00011610984802246094,0.11610984802246094,
4,CE_FULL,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,2.0,5,13.980437994003296,13980.438947677612,
4,CE_NAIVE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,2.0,5,0.32898402214050293,328.98616790771484,7
4,RRCE_PNE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,2.6666666666666665,5,0.2222142219543457,222.21708297729492,7
5,GREEDY_CENTRALIZED,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.00010585784912109375,0.10704994201660156,
5,AGG_ORACLE_FCFS,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.00010013580322265625,0.10013580322265625,
5,CE_FULL,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,14.222342014312744,14222.344160079956,
5,CE_NAIVE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.1880631446838379,188.0650520324707,1
5,RRCE_PNE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.1722121238708496,172.21307754516602,1
6,GREEDY_CENTRALIZED,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.0001220703125,0.12302398681640625,
6,AGG_ORACLE_FCFS,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.00011110305786132812,0.11205673217773438,
6,CE_FULL,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,2.6666666666666665,5,12.761368989944458,12761.368989944458,
6,CE_NAIVE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,4.0,5,0.4599778652191162,459.98120307922363,12
6,RRCE_PNE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,4.0,5,0.24138307571411133,241.38593673706055,12
7,GREEDY_CENTRALIZED,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.0001068115234375,0.10800361633300781,
7,AGG_ORACLE_FCFS,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.00010013580322265625,0.10013580322265625,
7,CE_FULL,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,2.0,5,12.919086933135986,12919.087886810303,
7,CE_NAIVE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,4.0,5,0.3088648319244385,308.8681697845459,4
7,RRCE_PNE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,15.0,2.0,5,0.18296504020690918,182.9659938812256,4
8,GREEDY_CENTRALIZED,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.00010895729064941406,0.10895729064941406,
8,AGG_ORACLE_FCFS,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,4.0,4,0.00010895729064941406,0.11110305786132812,
8,CE_FULL,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,2.6666666666666665,4,14.383511781692505,14383.5129737854,
8,CE_NAIVE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,2.6666666666666665,4,0.22878599166870117,228.78694534301758,3
8,RRCE_PNE,OK,7,4,3;4,7,0,10.0,10.0,0.0,0.0,12.0,2.6666666666666665,4,0.11988401412963867,119.88687515258789,3
9,GREEDY_CENTRALIZED,OK,7,3,3;4,7,0,10.0,10.0,0.0,0.0,12.0,2.6666666666666665,4,0.00014495849609375,0.14495849609375,
9,AGG_ORACLE_FCFS,OK,7,3,3;4,7,0,10.0,10.0,0.0,0.0,12.0,2.6666666666666665,4,0.0001010894775390625,0.10204315185546875,
9,CE_FULL,OK,7,3,3;4,7,0,10.0,10.0,0.0,0.0,12.0,2.6666666666666665,4,15.801146030426025,15801.153182983398,
9,CE_NAIVE,OK,7,3,3;4,7,0,10.0,10.0,0.0,0.0,12.0,2.6666666666666665,4,0.25775909423828125,257.7629089355469,2
9,RRCE_PNE,OK,7,3,3;4,7,0,10.0,10.0,0.0,0.0,12.0,2.6666666666666665,4,0.11062812805175781,110.63003540039062,2
10,GREEDY_CENTRALIZED,OK,7,5,3;4,7,0,10.0,10.0,0.0,0.0,16.0,4.0,3,0.0001628398895263672,0.16379356384277344,
10,AGG_ORACLE_FCFS,OK,7,5,3;4,7,0,10.0,10.0,0.0,0.0,28.0,4.0,3,0.0001480579376220703,0.14901161193847656,
10,CE_FULL,OK,7,5,3;4,7,0,10.0,10.0,0.0,0.0,39.0,6.0,5,11.610754013061523,11610.755920410156,
