mc,solver,status,n_backlog_total,n_airlines,Q0_runway,B0_total,t_epoch,lateness_mean,lateness_std,coord_sigma,real_sigma,obj,fairness_gap,n_pushed,n_dev,dev_rate,solver_time_sec,wall_ms,num_pne
1,GREEDY_CENTRALIZED,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,12.0,4.0,3,0,0.0,0.00015306472778320312,0.16498565673828125,
1,AGG_ORACLE_FCFS,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,12.0,4.0,3,0,0.0,9.799003601074219e-5,0.1010894775390625,
1,CE_FULL,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,18.0,6.0,4,0,0.0,10.73486590385437,10734.870910644531,
1,CE_NAIVE,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,18.0,6.0,4,1,0.16666666666666666,0.5962479114532471,596.2519645690918,10
1,RRCE_PNE,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,24.0,0.0,0,0,0.0,0.00016307830810546875,0.16617774963378906,0
2,GREEDY_CENTRALIZED,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,12.0,4.0,3,0,0.0,9.107589721679688e-5,0.09393692016601562,
2,AGG_ORACLE_FCFS,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,12.0,4.0,3,0,0.0,8.893013000488281e-5,0.09012222290039062,
2,CE_FULL,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,18.0,5.0,4,0,0.0,9.451025009155273,9451.027154922485,
2,CE_NAIVE,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,18.0,5.0,4,0,0.0,0.3375988006591797,337.6040458679199,1
2,RRCE_PNE,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,18.0,5.0,4,0,0.0,0.1891789436340332,189.18299674987793,1
3,GREEDY_CENTRALIZED,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,8.0,2.0,4,0,0.0,9.489059448242188e-5,0.09799003601074219,
3,AGG_ORACLE_FCFS,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,8.0,2.0,4,0,0.0,9.179115295410156e-5,0.09393692016601562,
3,CE_FULL,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,8.0,4.0,4,0,0.0,9.522409915924072,9522.411108016968,
3,CE_NAIVE,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,8.0,4.0,4,0,0.0,0.20776987075805664,207.77392387390137,1
3,RRCE_PNE,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,8.0,4.0,4,0,0.0,0.18149709701538086,181.5011501312256,1
4,GREEDY_CENTRALIZED,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,8.0,4.0,4,0,0.0,9.584426879882812e-5,0.09894371032714844,
4,AGG_ORACLE_FCFS,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,8.0,4.0,4,0,0.0,9.512901306152344e-5,0.09703636169433594,
4,CE_FULL,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,10.0,4.0,5,0,0.0,9.192054986953735,9192.055940628052,
4,CE_NAIVE,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,10.0,4.0,5,0,0.0,0.5224788188934326,522.4831104278564,4
4,RRCE_PNE,OK,6,4,3;4,6,0,0.0,10.0,10.0,10.0,10.0,2.0,5,0,0.0,0.37212300300598145,372.12681770324707,3
