timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,epoch,t,Qsum,n_backlog,n_pushed,J_coord,solver_time_sec,fairness_ep
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,1,0,0,1,1,0.0,0.0017919540405273438,0.0
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,2,4,0,1,1,0.0,3.1948089599609375e-5,0.0
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,3,8,0,2,2,0.0,0.0006911754608154297,0.0
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,4,12,0,3,3,0.0,1.8835067749023438e-5,0.0
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,5,16,0,1,1,0.0,8.106231689453125e-6,0.0
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,6,20,0,7,4,12.0,0.002505064010620117,1000.0
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,7,24,1,10,4,24.0,0.006170034408569336,1000.0
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,8,28,1,7,4,12.0,0.0005919933319091797,1000.0
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,9,32,3,5,4,4.0,0.0001709461212158203,333.3333333333333
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,10,36,4,6,4,8.0,0.000247955322265625,573.3333333333334
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,11,40,4,8,4,16.0,0.0010690689086914062,720.0
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,12,44,4,7,4,12.0,0.0004520416259765625,720.0
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,13,48,4,9,4,20.0,0.0017290115356445312,800.0
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,14,52,4,12,4,32.0,0.07405805587768555,680.0
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,15,56,4,10,4,52.0,0.0031070709228515625,980.0
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,16,60,6,9,4,40.0,0.0016570091247558594,1480.0
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,1,0,0,1,1,0.0,2.7179718017578125e-5,0.0
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,2,4,0,1,1,0.0,4.0531158447265625e-6,0.0
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,3,8,0,2,2,0.0,1.2874603271484375e-5,0.0
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,4,12,0,3,3,0.0,2.4080276489257812e-5,0.0
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,5,16,0,1,1,0.0,5.0067901611328125e-6,0.0
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,6,20,0,7,4,12.0,0.00035500526428222656,1000.0
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,7,24,1,10,4,24.0,0.0033919811248779297,1000.0
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,8,28,1,7,4,12.0,0.0003600120544433594,1000.0
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,9,32,3,5,4,4.0,8.106231689453125e-5,333.3333333333333
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,10,36,4,6,4,14.0,0.00017404556274414062,740.0
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,11,40,5,8,4,16.0,0.0009860992431640625,720.0
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,12,44,5,7,4,12.0,0.00036597251892089844,720.0
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,13,48,5,9,4,48.0,0.0013339519500732422,813.3333333333333
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,14,52,6,12,4,56.0,0.013331174850463867,1440.0
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,15,56,6,10,4,44.0,0.0027670860290527344,1340.0
