timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,enable_deviation,total_time_sec,sum_solver_time_sec,total_obj,avg_Qsum,avg_backlog,avg_pushed,fairness_max_gap
20260204_160137,GREEDY_CENTRALIZED,1,1,10001,0.0,0.0,true,0.0014178752899169922,0.0012929439544677734,60.0,0.9,4.3,2.8,4.0
20260204_160137,GREEDY_CENTRALIZED,2,1,20001,0.0,0.0,true,0.0012500286102294922,0.0010881423950195312,60.0,0.9,4.3,2.8,4.0
20260204_160137,GREEDY_CENTRALIZED,3,1,30001,0.0,0.0,true,0.008231878280639648,0.00811147689819336,60.0,0.9,4.3,2.8,4.0
20260204_160137,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,true,0.0012669563293457031,0.0011777877807617188,60.0,0.9,4.3,2.8,4.0
20260204_160137,GREEDY_CENTRALIZED,5,1,50001,0.0,0.0,true,0.0012278556823730469,0.0011262893676757812,60.0,0.9,4.3,2.8,4.0
20260204_160137,RRCE_PNE,1,1,10001,0.0,0.0,true,1.644439935684204,1.644254446029663,59.0,1.4,3.7,3.0,5.0
20260204_160137,RRCE_PNE,2,1,20001,0.0,0.0,true,1.6436610221862793,1.6434698104858398,59.0,1.4,3.7,3.0,5.0
20260204_160137,RRCE_PNE,3,1,30001,0.0,0.0,true,1.5869390964508057,1.5867509841918945,59.0,1.4,3.7,3.0,5.0
20260204_160137,RRCE_PNE,4,1,40001,0.0,0.0,true,1.7568187713623047,1.7566180229187012,59.0,1.5,3.7,3.0,5.0
20260204_160137,RRCE_PNE,5,1,50001,0.0,0.0,true,1.5871388912200928,1.5869474411010742,59.0,1.4,3.7,3.0,5.0
