timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,enable_deviation,total_time_sec,sum_solver_time_sec,total_obj,avg_Qsum,avg_backlog,avg_pushed,fairness_max_gap
20260213_182002,GREEDY_CENTRALIZED,4086,1,40860001,0.0,0.0,true,0.3549790382385254,0.3295705318450928,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,2324,1,23240001,0.0,0.0,true,0.03386092185974121,0.033225297927856445,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,5811,1,58110001,0.0,0.0,true,0.031191110610961914,0.030604124069213867,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,6804,1,68040001,0.0,0.0,true,0.028393983840942383,0.027803659439086914,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,6337,1,63370001,0.0,0.0,true,0.027938127517700195,0.027388334274291992,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,7587,1,75870001,0.0,0.0,true,0.03065204620361328,0.03001689910888672,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,1445,1,14450001,0.0,0.0,true,0.03020787239074707,0.0296630859375,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,8635,1,86350001,0.0,0.0,true,0.02984786033630371,0.029302120208740234,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,8446,1,84460001,0.0,0.0,true,0.030159950256347656,0.02957749366760254,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,1208,1,12080001,0.0,0.0,true,0.030212879180908203,0.029650211334228516,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,407,1,4070001,0.0,0.0,true,0.030462026596069336,0.029885053634643555,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,8772,1,87720001,0.0,0.0,true,0.027738094329833984,0.02715587615966797,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,7538,1,75380001,0.0,0.0,true,0.030801057815551758,0.03021407127380371,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,7268,1,72680001,0.0,0.0,true,0.030521869659423828,0.029948711395263672,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,4433,1,44330001,0.0,0.0,true,0.030062198638916016,0.0295102596282959,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,4441,1,44410001,0.0,0.0,true,0.030647993087768555,0.030026674270629883,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,3846,1,38460001,0.0,0.0,true,0.027842998504638672,0.027194976806640625,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,452,1,4520001,0.0,0.0,true,0.030970096588134766,0.030344009399414062,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,5146,1,51460001,0.0,0.0,true,0.03093099594116211,0.030371427536010742,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,6428,1,64280001,0.0,0.0,true,0.027562856674194336,0.027003049850463867,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,8562,1,85620001,0.0,0.0,true,0.03037095069885254,0.029787778854370117,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,588,1,5880001,0.0,0.0,true,0.028068065643310547,0.027478694915771484,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,3484,1,34840001,0.0,0.0,true,0.03138113021850586,0.030757904052734375,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,4282,1,42820001,0.0,0.0,true,0.027714014053344727,0.027169466018676758,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,6444,1,64440001,0.0,0.0,true,0.03111410140991211,0.03054523468017578,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,9459,1,94590001,0.0,0.0,true,0.028060197830200195,0.027513504028320312,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,9380,1,93800001,0.0,0.0,true,0.030910015106201172,0.030336618423461914,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,1389,1,13890001,0.0,0.0,true,0.027653932571411133,0.027133941650390625,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,7660,1,76600001,0.0,0.0,true,0.030421972274780273,0.029834747314453125,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,5521,1,55210001,0.0,0.0,true,0.02754688262939453,0.027040481567382812,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,7357,1,73570001,0.0,0.0,true,0.030584096908569336,0.030035018920898438,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,2463,1,24630001,0.0,0.0,true,0.02740001678466797,0.026860952377319336,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,3954,1,39540001,0.0,0.0,true,0.030611038208007812,0.026909828186035156,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,7316,1,73160001,0.0,0.0,true,0.027699947357177734,0.02718067169189453,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,2145,1,21450001,0.0,0.0,true,0.030853986740112305,0.027046918869018555,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,7092,1,70920001,0.0,0.0,true,0.02766895294189453,0.027105331420898438,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,9555,1,95550001,0.0,0.0,true,0.02814793586730957,0.02763986587524414,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,7658,1,76580001,0.0,0.0,true,0.02870798110961914,0.028183460235595703,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,9048,1,90480001,0.0,0.0,true,0.03085494041442871,0.030277013778686523,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,2506,1,25060001,0.0,0.0,true,0.028263092041015625,0.02771449089050293,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,2979,1,29790001,0.0,0.0,true,0.028144121170043945,0.02761101722717285,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,1125,1,11250001,0.0,0.0,true,0.028477191925048828,0.027961015701293945,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,4931,1,49310001,0.0,0.0,true,0.028581857681274414,0.028059959411621094,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,7345,1,73450001,0.0,0.0,true,0.028415918350219727,0.027803897857666016,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,7772,1,77720001,0.0,0.0,true,0.031785011291503906,0.03123307228088379,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,6272,1,62720001,0.0,0.0,true,0.028355836868286133,0.027793407440185547,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,3630,1,36300001,0.0,0.0,true,0.028929948806762695,0.028361797332763672,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,9401,1,94010001,0.0,0.0,true,0.02873682975769043,0.028184175491333008,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,2124,1,21240001,0.0,0.0,true,0.028972864151000977,0.028409242630004883,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,5866,1,58660001,0.0,0.0,true,0.028766155242919922,0.028195858001708984,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,3505,1,35050001,0.0,0.0,true,0.02949810028076172,0.02893829345703125,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,6689,1,66890001,0.0,0.0,true,0.02883601188659668,0.028270483016967773,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,7826,1,78260001,0.0,0.0,true,0.0288851261138916,0.028317689895629883,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,5159,1,51590001,0.0,0.0,true,0.028352022171020508,0.027831315994262695,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,9823,1,98230001,0.0,0.0,true,0.028915882110595703,0.028367280960083008,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,2946,1,29460001,0.0,0.0,true,0.02857208251953125,0.028008222579956055,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,6613,1,66130001,0.0,0.0,true,0.02957892417907715,0.0289764404296875,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,4006,1,40060001,0.0,0.0,true,0.028840065002441406,0.028279542922973633,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,7564,1,75640001,0.0,0.0,true,0.028402090072631836,0.027878999710083008,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,4866,1,48660001,0.0,0.0,true,0.028189897537231445,0.027626514434814453,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,1671,1,16710001,0.0,0.0,true,0.028993844985961914,0.02844071388244629,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,1434,1,14340001,0.0,0.0,true,0.028733015060424805,0.02819681167602539,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,8731,1,87310001,0.0,0.0,true,0.02874922752380371,0.028197050094604492,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,3084,1,30840001,0.0,0.0,true,0.028647184371948242,0.028130292892456055,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,9381,1,93810001,0.0,0.0,true,0.028681039810180664,0.028124570846557617,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,2419,1,24190001,0.0,0.0,true,0.028554916381835938,0.028048992156982422,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,559,1,5590001,0.0,0.0,true,0.028750896453857422,0.028189659118652344,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,4564,1,45640001,0.0,0.0,true,0.02857494354248047,0.02796196937561035,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,1954,1,19540001,0.0,0.0,true,0.02873682975769043,0.028231143951416016,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,996,1,9960001,0.0,0.0,true,0.028277873992919922,0.027714252471923828,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,2889,1,28890001,0.0,0.0,true,0.028925180435180664,0.02835249900817871,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,3383,1,33830001,0.0,0.0,true,0.028086185455322266,0.027573823928833008,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,8128,1,81280001,0.0,0.0,true,0.028815031051635742,0.02826690673828125,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,1155,1,11550001,0.0,0.0,true,0.028761863708496094,0.028259754180908203,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,5738,1,57380001,0.0,0.0,true,0.02857494354248047,0.028060436248779297,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,7593,1,75930001,0.0,0.0,true,0.028666019439697266,0.028079986572265625,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,1571,1,15710001,0.0,0.0,true,0.028750896453857422,0.02823615074157715,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,8001,1,80010001,0.0,0.0,true,0.028474092483520508,0.027932167053222656,232.0,2.1875,6.125,3.25,8.0
20260213_182002,GREEDY_CENTRALIZED,3202,1,32020001,0.0,0.0,true,0.028870105743408203,0.02831435203552246,232.0,2.1875,6.125,3.25,8.0
