timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,enable_deviation,total_time_sec,sum_solver_time_sec,total_obj,avg_Qsum,avg_backlog,avg_pushed,fairness_max_gap
20260213_151714,GREEDY_CENTRALIZED,6910,1,69100001,100.0,100.0,true,0.3565859794616699,0.33113789558410645,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,4953,1,49530001,100.0,100.0,true,0.03344392776489258,0.03291487693786621,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,8042,1,80420001,100.0,100.0,true,0.029812097549438477,0.029294252395629883,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,180,1,1800001,100.0,100.0,true,0.027577877044677734,0.027030467987060547,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,6646,1,66460001,100.0,100.0,true,0.027422189712524414,0.026863813400268555,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,1744,1,17440001,100.0,100.0,true,0.029699087142944336,0.029154300689697266,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,9250,1,92500001,100.0,100.0,true,0.029890060424804688,0.029349803924560547,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,7566,1,75660001,100.0,100.0,true,0.027467012405395508,0.026930809020996094,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,8740,1,87400001,100.0,100.0,true,0.029603004455566406,0.029067039489746094,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,7526,1,75260001,100.0,100.0,true,0.030405044555664062,0.029780149459838867,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,6150,1,61500001,100.0,100.0,true,0.029517173767089844,0.02896904945373535,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,5660,1,56600001,100.0,100.0,true,0.02936697006225586,0.028788328170776367,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,1036,1,10360001,100.0,100.0,true,0.02957296371459961,0.02902531623840332,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,7209,1,72090001,100.0,100.0,true,0.026911020278930664,0.026352643966674805,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,3106,1,31060001,100.0,100.0,true,0.03037118911743164,0.029809236526489258,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,5042,1,50420001,100.0,100.0,true,0.029490947723388672,0.028911590576171875,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,7779,1,77790001,100.0,100.0,true,0.02713322639465332,0.026567697525024414,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,2047,1,20470001,100.0,100.0,true,0.030462026596069336,0.029801607131958008,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,4489,1,44890001,100.0,100.0,true,0.029642105102539062,0.029090404510498047,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,4902,1,49020001,100.0,100.0,true,0.02703094482421875,0.026491880416870117,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,8084,1,80840001,100.0,100.0,true,0.031091928482055664,0.030496597290039062,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,6811,1,68110001,100.0,100.0,true,0.027705907821655273,0.02706599235534668,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,2732,1,27320001,100.0,100.0,true,0.03088998794555664,0.03029942512512207,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,3069,1,30690001,100.0,100.0,true,0.02730703353881836,0.026726961135864258,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,4457,1,44570001,100.0,100.0,true,0.03062295913696289,0.03003549575805664,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,5680,1,56800001,100.0,100.0,true,0.027632951736450195,0.027048349380493164,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,6485,1,64850001,100.0,100.0,true,0.03131103515625,0.03067922592163086,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,3287,1,32870001,100.0,100.0,true,0.02795100212097168,0.027391910552978516,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,8179,1,81790001,100.0,100.0,true,0.027898073196411133,0.02732062339782715,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,9249,1,92490001,100.0,100.0,true,0.030705928802490234,0.03014969825744629,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,8304,1,83040001,100.0,100.0,true,0.027199983596801758,0.026652097702026367,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,378,1,3780001,100.0,100.0,true,0.030742883682250977,0.027218341827392578,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,5168,1,51680001,100.0,100.0,true,0.02799201011657715,0.027411222457885742,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,3845,1,38450001,100.0,100.0,true,0.02805185317993164,0.0274960994720459,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,794,1,7940001,100.0,100.0,true,0.03138399124145508,0.03076481819152832,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,5941,1,59410001,100.0,100.0,true,0.027910947799682617,0.027337312698364258,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,1980,1,19800001,100.0,100.0,true,0.027988195419311523,0.027489423751831055,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,8841,1,88410001,100.0,100.0,true,0.027966976165771484,0.02745223045349121,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,2134,1,21340001,100.0,100.0,true,0.02816605567932129,0.02764153480529785,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,7214,1,72140001,100.0,100.0,true,0.02843499183654785,0.02790045738220215,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,5987,1,59870001,100.0,100.0,true,0.030859947204589844,0.03024125099182129,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,3807,1,38070001,100.0,100.0,true,0.02796196937561035,0.027387142181396484,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,467,1,4670001,100.0,100.0,true,0.028587818145751953,0.028067827224731445,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,6478,1,64780001,100.0,100.0,true,0.02787303924560547,0.02735614776611328,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,4898,1,48980001,100.0,100.0,true,0.02840399742126465,0.027880430221557617,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,7886,1,78860001,100.0,100.0,true,0.028342008590698242,0.02781963348388672,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,4410,1,44100001,100.0,100.0,true,0.02838587760925293,0.027863264083862305,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,8260,1,82600001,100.0,100.0,true,0.0277559757232666,0.027209043502807617,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,5346,1,53460001,100.0,100.0,true,0.030492782592773438,0.029977083206176758,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,1574,1,15740001,100.0,100.0,true,0.02824091911315918,0.0276639461517334,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,4719,1,47190001,100.0,100.0,true,0.028397083282470703,0.027846097946166992,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,6566,1,65660001,100.0,100.0,true,0.028532028198242188,0.027978181838989258,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,9071,1,90710001,100.0,100.0,true,0.028922080993652344,0.028376340866088867,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,9416,1,94160001,100.0,100.0,true,0.028553009033203125,0.02798604965209961,232.0,2.1875,6.125,3.25,8.0
20260213_151714,GREEDY_CENTRALIZED,1942,1,19420001,100.0,100.0,true,0.02839183807373047,0.027889728546142578,232.0,2.1875,6.125,3.25,8.0
