flight_id,airline_id,sched_t,ready_t,runway,pax
F0001,4,0,0,1,250
F0002,1,0,0,1,250
F0003,3,1,0,2,300
F0004,4,2,2,1,250
F0005,1,2,1,2,180
F0006,5,3,3,2,300
F0007,5,4,1,1,250
F0008,3,4,2,2,250
F0009,1,5,3,2,180
F0010,4,6,3,1,250
F0011,2,6,6,1,300
F0012,2,7,7,1,250
F0013,1,8,8,2,180
F0014,4,9,7,1,300
F0015,4,9,7,2,180
F0016,1,10,9,1,180
F0017,5,11,9,1,180
F0018,5,11,10,2,180
F0019,5,12,10,1,180
F0020,4,12,11,1,180
F0021,3,13,11,1,180
F0022,4,14,11,1,250
F0023,2,14,14,2,180
F0024,4,15,15,2,300
F0025,4,16,13,1,180
F0026,4,17,17,1,300
F0027,2,18,16,2,250
F0028,5,18,16,1,300
F0029,3,19,19,1,180
F0030,2,20,18,2,180
F0031,1,21,21,1,300
F0032,2,21,21,2,250
F0033,5,22,21,2,300
F0034,4,22,19,1,250
F0035,2,23,20,1,180
F0036,1,24,22,1,250
F0037,3,24,22,1,180
F0038,3,25,24,2,180
F0039,1,25,25,1,180
F0040,1,26,26,1,180
F0041,3,27,27,2,300
F0042,4,28,28,2,180
F0043,4,29,27,2,180
F0044,5,29,28,2,250
F0045,3,30,29,2,180
F0046,1,31,29,1,300
F0047,5,32,32,2,300
F0048,2,32,31,1,180
F0049,3,33,30,2,180
F0050,3,34,33,2,300
F0051,3,34,33,1,250
F0052,2,35,35,2,250
F0053,4,36,34,1,250
F0054,1,37,34,2,250
F0055,5,38,37,2,180
F0056,4,39,37,2,180
F0057,2,40,39,2,250
F0058,3,41,40,1,180
F0059,5,41,40,2,300
F0060,4,42,40,2,180
F0061,2,42,40,1,180
F0062,3,43,40,2,250
F0063,3,44,43,1,300
F0064,5,45,42,1,180
F0065,4,45,44,2,300
F0066,2,46,43,2,250
F0067,5,46,46,1,300
F0068,4,47,44,1,300
F0069,3,47,47,2,300
F0070,3,48,46,1,180
F0071,1,49,47,2,300
F0072,1,50,47,1,180
F0073,5,51,48,2,180
F0074,4,52,49,2,180
F0075,1,52,51,2,180
F0076,4,53,52,1,180
F0077,4,53,53,2,250
F0078,3,54,51,2,180
F0079,3,55,55,1,250
F0080,4,56,53,1,250
F0081,4,56,55,2,300
F0082,5,57,56,1,300
F0083,3,58,58,1,250
F0084,2,59,56,1,250
